model,config,run_id,run_name,metric,n,mean,std,min,max,last
Student S,S4,5zkf0n7i,bevfusion_student_xxs_kd_feature_bev_head_dwa_V2,loss_kd_feature_bev,1848,0.21933661253147183,0.001103610281623076,0.21773890644311905,0.22328234553337098,0.2185158747434616
Student S,S4,5zkf0n7i,bevfusion_student_xxs_kd_feature_bev_head_dwa_V2,loss_kd_rel,1848,1.6317288021569127,0.048726057868675746,1.5490551280975342,2.5622206211090086,1.5896884322166442
Student S,S4,5zkf0n7i,bevfusion_student_xxs_kd_feature_bev_head_dwa_V2,loss_kd_logit,1848,0.2905302558018467,0.03774173960765819,0.24402322620153427,1.1083895874023437,0.25512575268745424
Student S,S4,5zkf0n7i,bevfusion_student_xxs_kd_feature_bev_head_dwa_V2,weight_lidar,1848,0.9937656358916522,0.047210410314346904,0.7760003805160522,1.1013432741165161,0.9965246319770813
Student S,S4,5zkf0n7i,bevfusion_student_xxs_kd_feature_bev_head_dwa_V2,weight_camera,1848,0.993548017043572,0.04331084818141375,0.7822937965393066,1.0861915349960327,0.9900068640708923
Student S,S4,5zkf0n7i,bevfusion_student_xxs_kd_feature_bev_head_dwa_V2,weight_bev,1848,0.993710732918023,0.04595810315549712,0.7802558541297913,1.1038298606872559,0.9865075945854187
Student S,S4,5zkf0n7i,bevfusion_student_xxs_kd_feature_bev_head_dwa_V2,weight_relation,1848,0.9999605867511783,0.04964219678887203,0.8612529039382935,1.2272579669952393,0.9814581274986267
Student S,S4,5zkf0n7i,bevfusion_student_xxs_kd_feature_bev_head_dwa_V2,weight_logit,1848,1.0190150224285208,0.1238951886444576,0.760049045085907,1.7544891834259033,1.0455023050308228
Student S,S4,5zkf0n7i,bevfusion_student_xxs_kd_feature_bev_head_dwa_V2,weighted_loss_kd_feature_camera,1848,0.2556685610913805,0.011285774831936551,0.24663761496543884,0.33913963377475737,0.24815325021743775
Student S,S4,5zkf0n7i,bevfusion_student_xxs_kd_feature_bev_head_dwa_V2,weighted_loss_kd_feature_lidar,1848,0.12427385474535035,0.00040570201810918144,0.12302666202187539,0.12543387040495874,0.12428158238530158
Student S,S4,5zkf0n7i,bevfusion_student_xxs_kd_feature_bev_head_dwa_V2,weighted_loss_kd_bev,1848,0.21765372669122693,0.0011981760591057542,0.2152530348300934,0.22263936638832094,0.2171446654200554
